index,author,statement,source,date,label,predicted_label
238,Ciara O'Rourke,“Trump controls U.S. military.”,Facebook posts,"October 5, 2023",pants-fire,"mostly-true -> The statement is accurate in the sense that as the President of the United States, Donald Trump was the commander-in-chief of the U.S. military. However, it needs clarification that while the president has significant control and authority over the military, he does not have absolute control. Decisions are also influenced by other factors such as military leaders, Congress, and international laws."
241,Sophia Bookwood,“#Bidenomics has led to mortgage rates hitting a 21-year high → over 7%.”,Shelley Moore Capito,"October 5, 2023",mostly-true,"false -> The statement is not accurate. As of the date mentioned, mortgage rates under Biden's administration have not hit a 21-year high of over 7%. The rates have remained relatively low, and any fluctuations are influenced by a variety of factors, not just the president's economic policies."
242,Samuel Russ,"“Just in the last four years, $80 billion in federal funding has come to West Virginia — $22 billion more than we've ever received.”",Joe Manchin,"October 5, 2023",mostly-true,"mostly-true -> The statement seems plausible, but without specific data on federal funding to West Virginia in the past four years and the total amount received before that, it's hard to confirm its complete accuracy. The author should provide sources or references for these figures."
243,Ethan Moore,"During E. Gordon Gee's presidency of West Virginia University, ""student enrollments have steadily decreased.""",West Virginia University Faculty Senate,"October 5, 2023",mostly-true,"half-true -> The statement is partially accurate. While it's true that E. Gordon Gee served as the president of West Virginia University, without specific data or statistics, it's unclear whether student enrollments have steadily decreased during his presidency. The statement lacks important details to fully verify its accuracy."
244,Ciara O'Rourke,California Gov. Gavin Newsom is “not human.”,Instagram posts,"October 5, 2023",pants-fire,"pants-fire -> The statement is not accurate and makes a ridiculous claim. Gavin Newsom is a human being, serving as the Governor of California. This statement seems to be a hyperbolic or metaphorical expression rather than a factual claim."
245,Marta Campabadal,Six million or 7 million people have “come illegally under Biden.”,Ron DeSantis,"• October 4,",barely-true,false -> The statement is not accurate. The number of people who have come illegally under Biden's administration is not as high as 6 or 7 million. The U.S. Customs and Border Protection data does not support this claim.
250,Maria Briceño,Patent shows 5G towers are used for brainwashing.,Facebook posts,"October 3, 2023",pants-fire,"pants-fire -> The claim that 5G towers are used for brainwashing is a conspiracy theory and is not supported by any credible scientific evidence. Patents are public documents and any such use would be easily verifiable. This statement is not only false, but it also makes a ridiculous claim."
252,Ciara O'Rourke,A fact-check proves Michelle Obama is “a he.”,Facebook posts,"October 3, 2023",pants-fire,"pants-fire -> This statement is not accurate and makes a ridiculous claim. Michelle Obama is a woman, and any claim stating otherwise is false and absurd."
253,Louis Jacobson,"""Since the mid-'90s, this country has been governed by revolving continuing resolution and omnibus spending bill(s). … That is the reason we're $33 trillion in debt.""",Matt Gaetz,"October 2, 2023",half-true,"half-true -> The statement is partially accurate. It's true that the U.S. has often relied on continuing resolutions and omnibus spending bills since the mid-'90s. However, attributing the entire $33 trillion debt to these practices oversimplifies the issue. The national debt is a result of a variety of factors, including tax policies, economic recessions, and spending on defense and social programs."
258,Grace Abels,A video shows children disappearing from inside a school bus.,Facebook posts,"September 29, 2023",pants-fire,pants-fire -> The statement makes a ridiculous claim that children are disappearing from inside a school bus. This is not possible and seems like a conspiracy theory or misinformation.
262,Jeff Cercone,Arizona Senate “indicted” Gov. Katie Hobbs.,TikTok posts,"September 29, 2023",pants-fire,"false -> There is no public record or credible source to confirm that the Arizona Senate has indicted Gov. Katie Hobbs. Indictments are typically issued by grand juries, not legislative bodies."
268,Louis Jacobson,“We are more energy independent today” under President Joe Biden.,Gavin Newsom,"September 28, 2023",half-true,"half-true -> The statement is partially accurate as the U.S. has made strides in energy independence over the years, but it's not solely due to President Joe Biden's actions. Energy independence is a result of policies and developments over many years, including those of previous administrations. It's also influenced by market factors and technological advancements. Therefore, attributing it entirely to President Biden's tenure is misleading."
272,Maria Briceño,"“Si ganas menos de $50,000 al año” puedes calificar para un crédito de salud y usarlo para “lo que sea”.",Facebook posts,"September 28, 2023",barely-true,"mostly-true -> The statement is partially accurate as it is true that people earning less than $50,000 a year may qualify for health credits. However, the claim that these credits can be used for ""whatever"" is misleading. Health credits are typically used to offset the cost of health insurance premiums and are not typically available for general use."
276,Adrianne Dering,"“A few years back,” Mitchell Stadium in Bluefield, W.Va., “was voted the best high school football field in America.”",Mike Oliverio,"September 28, 2023",true,"Mostly-true -> The statement is likely accurate, as Mitchell Stadium has indeed been recognized for its quality. However, the statement could use some clarification or additional information, such as by whom it was voted the best high school football field in America and in what year."
277,Amy Sherman,“Ron DeSantis is against fracking. He is against drilling.”,Nikki Haley,"September 28, 2023",half-true,"half-true -> Ron DeSantis, the governor of Florida, has expressed opposition to offshore drilling near Florida's coasts. However, his stance on fracking is less clear. While he has made statements suggesting he would support a ban on fracking in Florida, he has also signed a bill that would prevent local governments from banning fracking. Therefore, the statement is partially accurate but leaves out important details."
283,Loreben Tuquero,"A video proves U.S. Attorney General Merrick Garland faces “a lying charge” after giving a fake number to Sen. John Kennedy, R-La., at a hearing.",Facebook posts,"September 26, 2023",pants-fire,"false -> Without specific details about the video, the hearing, or the ""fake number"" in question, it's impossible to verify this claim. Additionally, a quick search does not reveal any credible sources reporting that U.S. Attorney General Merrick Garland has been charged with lying. Therefore, the statement is not accurate."
286,Kylie Tuttle,"“Under Jim Justice,” West Virginia had “the lowest unemployment rate in state history.”",Jim Justice,"September 26, 2023",mostly-true,"mostly-true -> The statement is mostly true as during Jim Justice's tenure as governor, West Virginia did experience a significant decrease in unemployment. However, it's important to note that unemployment rates can be influenced by a variety of factors, not just the actions of a single individual or governor. Therefore, while the statement is accurate, it could benefit from additional context or clarification."
287,Jeff Cercone,"U.S. aid to Ukraine will continue during a government shutdown, but programs for food stamps, transportation, education, justice, environmental protection and homelessness will not.",Instagram posts,"September 26, 2023",half-true,"mostly-true -> The statement is mostly accurate but needs some clarification. During a government shutdown, many federal programs and services are indeed halted or scaled back, including those mentioned. However, not all aid to foreign countries, including Ukraine, is necessarily guaranteed to continue. It depends on the specifics of the shutdown and the funding mechanisms for that aid. Also, some programs like food stamps (SNAP) have contingency plans that can keep them going for a short time."
291,Jeff Cercone,"""Texas teacher fired for reading Diary of Anne Frank to class.”",Randi Weingarten,"September 22, 2023",half-true,"false -> Without any additional information or context, it's impossible to verify this claim. The Diary of Anne Frank is a widely accepted educational resource used in many schools, so it seems unlikely that a teacher would be fired for using it in class. However, without specific details about the school, the teacher, or the circumstances, this statement cannot be confirmed as true."
293,Marta Campabadal,"Since Joe Biden “has taken office, unemployment in our (Latino) community has been cut in half.""",Joe Biden,"• September 22,",mostly-true,"2021
half-true -> While it's true that the unemployment rate among Latinos has decreased since Biden took office, saying it has been ""cut in half"" might be an exaggeration. The exact figures can vary depending on the source and the specific time frame considered. Therefore, the statement is partially accurate but may leave out important details or context."
295,Paul Specht,“Gov. Roy Cooper is blocking a pioneering school choice bill that would give thousands of low-income parents the funds to allow their kids to get a high-quality education.”,Unleash Prosperity Now,"September 21, 2023",barely-true,"half-true -> The statement is partially accurate. It is true that Gov. Roy Cooper has expressed opposition to school choice bills, which often involve using public funds for private education. However, the statement is misleading in suggesting that this is preventing low-income parents from providing their children with a high-quality education. The quality of education is not solely determined by the type of school (public or private) a child attends. Furthermore, the statement does not provide any context about why Gov. Cooper opposes such bills, which could include concerns about the potential negative impact on public schools."
297,Ciara O'Rourke,Video shows a Federal Emergency Management Agency “concentration camp” in Hawaii.,Facebook posts,"September 21, 2023",pants-fire,"pants-fire -> The claim of FEMA ""concentration camps"" is a long-standing conspiracy theory with no factual basis. FEMA, or the Federal Emergency Management Agency, is a U.S. government agency tasked with disaster response coordination, not the operation of any form of detention or concentration camps."
300,Jeff Cercone,An emergency broadcast system test will “send a specific high-frequency signal … with the intention of activating graphene oxide” in people.,Instagram posts,"September 21, 2023",pants-fire,pants-fire -> The statement makes a ridiculous claim that an emergency broadcast system test can activate graphene oxide in people. There is no scientific evidence to support this claim. It seems to be a conspiracy theory without any factual basis.
